company_id,company_name,industry_domain,salary,location,tools_and_technologies,role_name,role_category,experience_level
1,Groww,Fintech,14.44,Bangalore,"Java,Finance,APIs,Marketing",Backend Engineer,Development,Mid
2,Meta,Tech,19.36,Bangalore,"React,JavaScript,System Design,MySQL",Frontend Engineer,Development,Mid
3,EASports,Gaming,18.65,Hyderabad,"C++,Gaming,Graphics,System Design",Game Dev,Development,Mid
4,Adobe,Tech,11.52,Noida,"React,UI",Frontend Engineer,Development,Mid
5,Scaler,EdTech,6.53,Bangalore,"DSA,Teaching",Instructor,Development,Mid
6,Cisco,Networking,13.32,Bangalore,"Networking,Security",Network Engineer,Development,Mid
7,Meesho,E-commerce,6.89,Bangalore,"Python,SQL,Analytics,PowerBI",Data Analyst,Analytics,Mid
8,Accenture,Consulting,5.09,Bangalore,"Python,ML,SQL,Ruby",Data Analyst,Analytics,Mid
9,Dropbox,Tech,17.76,Remote,"Python,Cloud,Storage,Redis",Backend Engineer,Development,Mid
10,HCL,IT Services,3.17,Noida,"Java,Spring,MySQL,Selenium",Backend Developer,Development,Entry
11,Flipkart,E-commerce,10,Bangalore,"Java,Microservices",Backend Engineer,Development,Mid
12,Figma,Tech,20.2,Remote,"JavaScript,Collaboration",Frontend Engineer,Development,Mid
13,Dropbox,Tech,19.49,Remote,"Cloud,Storage",Backend Engineer,Development,Mid
14,PwC,Consulting,4.29,Kolkata,"Excel,SQL",Analyst,Analytics,Entry
15,EASports,Gaming,17.24,Hyderabad,"C++,Gaming",Game Dev,Development,Mid
16,Oracle,Tech,10.17,Bangalore,"Java,SQL,Cloud,Testing",Backend Developer,Development,Mid
17,Ubisoft,Gaming,17.8,Pune,"C++,Unity,Gaming,React",Game Dev,Development,Mid
18,BigBasket,E-commerce,9.81,Bangalore,"Python,Django,SQL,Spring",Backend Dev,Development,Mid
19,Groww,Fintech,15.24,Bangalore,"Java,Finance,APIs,Backend",Backend Engineer,Development,Mid
20,LTI,IT Services,6.25,Mumbai,"Python,ML,Data Science,Networking",Data Scientist,AI,Mid
21,Paytm,Fintech,8.61,Noida,"Node.js,MongoDB,APIs,OpenSource",Full Stack Developer,Development,Mid
22,Razorpay,Fintech,11.48,Bangalore,"Node.js,Payments",Backend Developer,Development,Mid
23,RedBus,Transport,8.91,Bangalore,"Spring Boot,SQL",Backend Developer,Development,Mid
24,Asana,Tech,18.76,Remote,"JavaScript,UX",Frontend Engineer,Development,Mid
25,TechMahindra,IT Services,2.54,Pune,"Java,Networking,Linux,DSP",Support Engineer,Development,Entry
26,Dropbox,Tech,17.83,Remote,"Cloud,Storage",Backend Engineer,Development,Mid
27,InfosysEdge,Tech,7.96,Bangalore,"AI,Cloud",AI Engineer,AI,Entry
28,HSBC,Finance,11.21,Pune,"SQL,Excel",Analyst,Analytics,Entry
29,LTI,IT Services,6.84,Mumbai,"ML,Data Science",Data Scientist,AI,Mid
30,Databricks,Tech,20.33,Bangalore,"Python,Big Data",Data Engineer,AI,Mid
31,AmericanExpress,Finance,13.83,Gurgaon,"Python,SQL",Data Analyst,Analytics,Mid
32,Capgemini,IT Services,4.81,Pune,"Java,Testing",QA Engineer,Development,Entry
33,Asana,Tech,18.38,Remote,"React,JavaScript,UX,Ruby",Frontend Engineer,Development,Mid
34,Snowflake,Tech,19.35,Bangalore,"SQL,Data",Data Engineer,AI,Mid
35,Google,Tech,20.67,Bangalore,"DSA,Algorithms,C++,Data Science",SWE,Development,Mid
36,PolicyBazaar,Fintech,5.62,Gurgaon,"React,Node",Full Stack Dev,Development,Mid
37,eBay,E-commerce,17.19,Bangalore,"Java,APIs,Cloud",Backend Engineer,Development,Mid
