company_id,company_name,industry_domain,salary,location,tools_and_technologies,role_name,role_category,experience_level
1,groww,Fintech,14.16,Bangalore,"java, finance, apis, marketing, spring, microservices",Backend Engineer,Development,Mid
2,meta,Tech,20.77,Bangalore,"react, javascript, system design, mysql",Frontend Engineer,Development,Mid
3,easports,Gaming,19.2,Hyderabad,"c++, gaming, graphics, system design",Game Dev,Development,Mid
4,adobe,Tech,11.15,Noida,"react, ui",Frontend Engineer,Development,Mid
5,scaler,EdTech,6.74,Bangalore,"dsa, teaching",Instructor,Development,Mid
6,cisco,Networking,14.57,Bangalore,"networking, security",Network Engineer,Development,Mid
7,meesho,E-commerce,6.35,Bangalore,"python, sql, analytics, powerbi, excel",Data Analyst,Analytics,Mid
8,accenture,Consulting,4.83,Bangalore,"python, machine learning, sql, ruby, excel, powerbi",Data Analyst,Analytics,Mid
9,dropbox,Tech,17.91,Remote,"python, cloud, storage, redis, java, spring, apis, microservices",Backend Engineer,Development,Mid
10,hcl,IT Services,3.45,Noida,"java, spring, mysql, selenium",Backend Developer,Development,Entry
11,flipkart,E-commerce,9.4,Bangalore,"java, microservices, spring, apis",Backend Engineer,Development,Mid
12,figma,Tech,20.34,Remote,"javascript, collaboration",Frontend Engineer,Development,Mid
13,dropbox,Tech,18.86,Remote,"cloud, storage, java, spring, apis, microservices",Backend Engineer,Development,Mid
14,pwc,Consulting,4.47,Kolkata,"excel, sql",Analyst,Analytics,Entry
15,easports,Gaming,18.87,Hyderabad,"c++, gaming",Game Dev,Development,Mid
16,oracle,Tech,9.28,Bangalore,"java, sql, cloud, testing",Backend Developer,Development,Mid
17,ubisoft,Gaming,19.08,Pune,"c++, unity, gaming, react",Game Dev,Development,Mid
18,bigbasket,E-commerce,10.14,Bangalore,"python, django, sql, spring",Backend Dev,Development,Mid
19,groww,Fintech,16.75,Bangalore,"java, finance, apis, spring, microservices",Backend Engineer,Development,Mid
20,lti,IT Services,5.95,Mumbai,"python, machine learning, data science, networking",Data Scientist,AI,Mid
21,paytm,Fintech,8.22,Noida,"node.js, mongodb, apis, opensource",Full Stack Developer,Development,Mid
22,razorpay,Fintech,12.34,Bangalore,"node.js, payments",Backend Developer,Development,Mid
23,redbus,Transport,9.54,Bangalore,"spring, sql",Backend Developer,Development,Mid
24,asana,Tech,18.01,Remote,"javascript, ux",Frontend Engineer,Development,Mid
25,techmahindra,IT Services,2.39,Pune,"java, networking, linux, dsp",Support Engineer,Development,Entry
26,dropbox,Tech,19.37,Remote,"cloud, storage, java, spring, apis, microservices",Backend Engineer,Development,Mid
27,infosysedge,Tech,8.15,Bangalore,"artificial intelligence, cloud",AI Engineer,AI,Entry
28,hsbc,Finance,11.96,Pune,"sql, excel",Analyst,Analytics,Entry
29,lti,IT Services,6.29,Mumbai,"machine learning, data science",Data Scientist,AI,Mid
30,databricks,Tech,18.81,Bangalore,"python, big data",Data Engineer,AI,Mid
31,americanexpress,Finance,13.96,Gurgaon,"python, sql, excel, powerbi",Data Analyst,Analytics,Mid
32,capgemini,IT Services,4.71,Pune,"java, testing",QA Engineer,Development,Entry
33,asana,Tech,17.3,Remote,"react, javascript, ux, ruby",Frontend Engineer,Development,Mid
34,snowflake,Tech,17.43,Bangalore,sql,Data Engineer,AI,Mid
35,google,Tech,18.78,Bangalore,"dsa, algorithms, c++, data science",SWE,Development,Mid
36,policybazaar,Fintech,5.9,Gurgaon,"react, node.js",Full Stack Dev,Development,Mid
37,ebay,E-commerce,16.46,Bangalore,"java, apis, cloud, spring, microservices",Backend Engineer,Development,Mid
38,bigbasket,E-commerce,10.53,Bangalore,"python, django, sql",Backend Dev,Development,Mid
